Biochemistry & Plant physiology,Biochemical compound,Amino acid,Essential amino acid,Histadine
,,,,Isoleucine
,,,,Leucine
,,,,Lysine
,,,,Methionine
,,,,Phenylalanine
,,,,Threonine
,,,,Tryptophan
,,,,Valine
,,,Non-essential amino acid,Arginine
,,,,Alanine
,,,,Asparagine
,,,,Aspartate
,,,,Cysteine
,,,,Glutamate
,,,,Glutamine
,,,,Glycine
,,,,Proline
,,,,Serine
,,,,Tyrosine
, , ,Limiting amino acid
, , ,Nonprotein amino acid
, , ,Sulfur amino acid
, ,Peptide,Antimicrobial peptide
, , ,Cyclic peptide, Cyclosporin
, , ,Glycopeptide
, , ,Oligopeptide,Dipeptide
, , , ,Tripeptide
, , ,Phytochelatin
, , ,Polyglutamic acid
, , ,Polypeptide
, , ,Synthetic peptide
, ,Protein,Antimicrobial protein,Antibacterial protein
, , , ,Antifungal protein
, , , ,Antiviral protein
, , ,Binding protein,Acyl carrier protein
, , , ,Biotin-binding protein
, , , ,Calcium-binding protein
, , , ,DNA-binding protein
, , , ,Fatty acid-binding protein
, , , ,Folate-binding protein
, , , ,Retinol-binding protein
, , , ,RNA-binding protein
, , , ,Transport protein,Ion channel,Calcium channel
, , , , ,,Chloride channel
, , , , , ,Potassium channel
, , , , , ,Sodium channel
, , , , ,Transporter,Amino acid transporter
, , , , , ,Antiporter
, , , , , ,Glucose transporter
, , , , , ,Symporter
, , 
, , ,Conjugated protein,Flavoprotein
, , , ,Lipoprotein,Apolipoprotein
, , , , ,Chylomicron
, , , , ,Lipophorin
, , , ,Metalloprotein,Cytochrome
, , , , ,Ferredoxin
, , , , ,Metallothionein
, , ,Crystal protein
, , ,Membrane protein
, , ,Microbial protein,Bacterial protein
, , , ,Fungal protein
, , ,Molecular chaperone,Chaperonin
, , , ,Heat shock protein
, , ,Nucleoprotein
, , ,Phosphoprotein
, , ,Plant protein,Expansin
, , , ,Glycinin
, , , ,Hevein
, , , ,Leghemoglobin
, , , ,Legumin
, , , ,Nodulins
, , , ,Oleosin
, , , ,Patatin
, , , ,Phaseolin
, , , ,Plastocyanin
, , , ,Sporamin
, , ,Protein aggregate
, , ,Recombinant protein,Recombinant fusion protein,Plant-incorporated protectant
, , ,Regulatory protein,Arrestin
, , , ,Cyclin
, , ,Ribonucleoprotein
, , ,Ribosomal protein
, , ,Scleroprotein,Collagen
, , , ,Elastin
, , ,Simple protein,Albumin
, , , ,Globulin
, , , ,Histones
, , , ,Protamine
, , ,Storage protein
, , ,Structural protein
, , ,Sulfur protein
, , ,Viral protein,Coat protein
, , , ,Nucleocapsid protein
, , , ,Viral fusion protein
, ,Carbohydrate,Glycoconjugate,Glycoprotein
, , ,Glycolipid,Glycophospholipid
, , , ,Glycosphingolipid
, , ,Glycoside,Aminoglycoside
, , , ,Cyanogenic glycoside
, , , ,Cycasin
, , , ,Galactoside
, , , ,Glucoside,Glucosinolate,Glucobrassicin
, , , ,,,Sinigrin
, , , ,Glycoflavonoid,Glycoflavone
, , , ,Iridoid glycoside
, , , ,Saponin,Steroid saponin
, , , ,,Triterpenoid saponin
, , ,Polysaccharide,Arabinan
, , , ,Arabinogalactan
, , , ,Arabinoxylan
, , , ,Callose
, , , ,Fructan,Inulin
, , , ,,Levan
, , , ,Galactan,Agar
, , , ,,Agarose
, , , ,,Carrageenan
, , , ,Galacturonan
, , , ,Glucan,Beta-glucan
, , , ,,Cellulose
, , , ,,Dextran
, , , ,,Dextrin,Cyclodextrin
, , , ,,,Maltodextrin
, , , ,,Starch,Amylopectin
, , , ,,,Amylose
, , , ,,,Starch granule
, , , ,,Xyloglucans
, , , ,Gum,Guar gum
, , , ,,Gum tragacanth
, , , ,,Locust bean gum
, , , ,,Psyllium gum
, , , ,Hemicellulose
, , , ,Lignocellulose
, , , ,Lipopolysaccharide
, , , ,Mannan,Galactomannan
, , , ,,Glucomannan
, , , ,Mucilage
, , , ,Pectin
, , , ,Xylan
, , ,Sugar,Aldose
, , , ,Amino sugar,Aminoarabinose
, , , ,,Hexosamine,Galactosamine
, , , ,,,Glucosamine
, , , ,,,N-acetylglucosamine
